Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2022-12-06 05:00:00,NVDA,16.51,16.56,15.8,15.97,352694000,,15.97,15.97,0.0,0.0
2022-12-07 05:00:00,NVDA,15.76,16.17,15.65,16.1,372388000,0.8319,16.04,16.04,0.0,0.0
2022-12-08 05:00:00,NVDA,16.26,17.16,15.94,17.15,515456000,6.5075,16.41,16.41,0.0,0.0
2022-12-09 05:00:00,NVDA,17.14,17.57,16.96,16.98,465338000,-0.9785,16.55,16.55,0.0,0.0
2022-12-12 05:00:00,NVDA,17.02,17.52,16.78,17.52,457328000,3.141,16.75,16.75,0.0,0.0
2022-12-13 05:00:00,NVDA,18.51,18.77,17.69,18.05,656589000,3.0624,16.96,16.96,0.0,0.0
2022-12-14 05:00:00,NVDA,17.97,18.23,17.4,17.66,496888000,-2.2023,17.06,17.06,0.0,0.0
2022-12-15 05:00:00,NVDA,17.13,17.3,16.68,16.94,478542000,-4.0851,17.05,17.05,0.0,0.0
2022-12-16 05:00:00,NVDA,16.85,17.02,16.39,16.55,478232000,-2.2475,16.99,16.99,0.0,0.0
2022-12-19 05:00:00,NVDA,16.56,16.59,16.13,16.24,354039000,-1.913,16.92,16.92,0.0,0.0
2022-12-20 05:00:00,NVDA,16.05,16.29,15.84,16.07,403260000,-1.0397,16.84,16.84,0.0,0.0
2022-12-21 05:00:00,NVDA,16.1,16.61,16.09,16.48,325025000,2.5862,16.81,16.81,0.0,0.0
2022-12-22 05:00:00,NVDA,16.08,16.12,14.87,15.32,565045000,-7.042,16.7,16.7,0.0,0.0
2022-12-23 05:00:00,NVDA,15.18,15.32,14.87,15.19,349326000,-0.8671,16.59,16.59,0.0,0.0
2022-12-27 05:00:00,NVDA,15.06,15.08,14.04,14.11,464902000,-7.1353,16.42,16.42,0.0,0.0
2022-12-28 05:00:00,NVDA,13.91,14.25,13.87,14.02,351066000,-0.6019,16.27,16.27,0.0,0.0
2022-12-29 05:00:00,NVDA,14.39,14.67,14.21,14.59,354923000,4.0396,16.17,16.17,0.0,0.0
2022-12-30 05:00:00,NVDA,14.32,14.61,14.22,14.6,310490000,0.0753,16.09,16.09,0.0,0.0
2023-01-03 05:00:00,NVDA,14.84,14.98,14.08,14.3,401277000,-2.046,15.99,15.99,0.0,0.0
2023-01-04 05:00:00,NVDA,14.55,14.84,14.23,14.73,431324000,3.0318,15.93,15.93,0.0,0.0
2023-01-05 05:00:00,NVDA,14.48,14.55,14.13,14.25,389168000,-3.2816,15.85,15.85,0.0,0.0
2023-01-06 05:00:00,NVDA,14.46,14.99,14.02,14.84,405044000,4.164,15.8,15.8,0.0,0.0
2023-01-09 05:00:00,NVDA,15.27,16.04,15.13,15.61,504231000,5.1753,15.8,15.8,0.0,0.0
2023-01-10 05:00:00,NVDA,15.49,15.95,15.46,15.89,384101000,1.7981,15.8,15.8,0.0,0.0
2023-01-11 05:00:00,NVDA,15.82,16.01,15.55,15.98,353285000,0.5783,15.81,15.81,0.0,0.0
2023-01-12 05:00:00,NVDA,16.08,16.62,15.48,16.49,551409000,3.1873,15.83,15.83,0.0,0.0
2023-01-13 05:00:00,NVDA,16.26,16.91,16.15,16.88,447287000,2.35,15.87,15.87,0.0,0.0
2023-01-17 05:00:00,NVDA,16.88,17.71,16.88,17.68,511102000,4.7517,15.94,15.94,0.0,0.0
2023-01-18 05:00:00,NVDA,17.65,17.86,17.26,17.36,439624000,-1.8359,15.99,15.99,0.0,0.0
2023-01-19 05:00:00,NVDA,17.02,17.18,16.71,16.75,452932000,-3.5219,16.01,16.01,0.0,0.0
2023-01-20 05:00:00,NVDA,16.99,17.84,16.81,17.82,564967000,6.4062,16.07,16.07,0.0,0.0
2023-01-23 05:00:00,NVDA,18.05,19.23,17.8,19.17,655163000,7.5901,16.17,16.17,0.0,0.0
2023-01-24 05:00:00,NVDA,18.81,19.48,18.8,19.25,496204000,0.3751,16.26,16.26,0.0,0.0
2023-01-25 05:00:00,NVDA,18.89,19.35,18.56,19.3,449537000,0.3011,16.35,16.35,0.0,0.0
2023-01-26 05:00:00,NVDA,19.68,20.15,19.26,19.78,489535000,2.4789,16.45,16.45,0.0,0.0
2023-01-27 05:00:00,NVDA,19.44,20.61,19.39,20.34,542142000,2.8431,16.56,16.56,0.0,0.0
2023-01-30 05:00:00,NVDA,19.93,20.12,19.13,19.14,488611000,-5.9072,16.63,16.63,0.0,0.0
