Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-06 00:00:00-05:00,123.8855070722732,125.48295234078462,120.61631510746514,122.21376037597656,13966700,0.0,0.0
2022-12-07 00:00:00-05:00,121.95370861551523,123.5975939959532,121.04354095408169,122.13017272949219,11739400,0.0,0.0
2022-12-08 00:00:00-05:00,122.90102132709893,123.50470086030334,122.06514100626237,123.41183471679688,8907300,0.0,0.0
2022-12-09 00:00:00-05:00,122.78028479893656,124.22912707542146,122.5945383327418,122.7431411743164,7957800,0.0,0.0
2022-12-12 00:00:00-05:00,122.96604385144109,125.05572369600405,122.223057910613,124.64708709716797,8841600,0.0,0.0
2022-12-13 00:00:00-05:00,127.13612773510728,127.32187422989668,123.59760528321478,124.52635192871094,10025400,0.0,0.0
2022-12-14 00:00:00-05:00,124.247714947811,126.0402031963504,123.30038947878215,123.90408325195312,9966100,0.0,0.0
2022-12-15 00:00:00-05:00,121.80509802663518,122.66883964240145,119.8547388760366,120.82992553710938,12087800,0.0,0.0
2022-12-16 00:00:00-05:00,119.94761276698254,120.64417268821136,119.27891410887905,120.07763671875,21133700,0.0,0.0
2022-12-19 00:00:00-05:00,120.41198091054494,121.97228243673368,119.89188512566446,120.79277038574219,9017200,0.0,0.0
2022-12-20 00:00:00-05:00,121.63793180074849,122.64097973421485,120.92279301853182,121.37788391113281,8549900,0.0,0.0
2022-12-21 00:00:00-05:00,122.761705900853,123.50470593717901,122.38093060519519,122.7431411743164,8051700,0.0,0.0
2022-12-22 00:00:00-05:00,121.75866443557845,121.94441089000601,119.26033423462137,121.35001373291016,8648200,0.0,0.0
2022-12-23 00:00:00-05:00,121.27571496529464,122.07443749116744,120.40269102171897,121.92583465576172,5091900,0.0,0.0
2022-12-27 00:00:00-05:00,122.19517267130234,122.79885217266832,121.24784735960202,122.35305786132812,5411000,0.0,0.0
2022-12-28 00:00:00-05:00,122.45522314091012,123.90406531227032,121.67506536502346,123.02175903320312,8827700,0.0,0.0
2022-12-29 00:00:00-05:00,123.45826331063586,123.77404788555819,122.88244502547478,123.72760772705078,6585200,0.0,0.0
2022-12-30 00:00:00-05:00,123.3468232963823,124.75852197759242,123.00319161820147,124.54491424560547,9292500,0.0,0.0
2023-01-03 00:00:00-05:00,125.6036772302088,126.99679692994762,124.34986383182529,125.49221801757812,11054800,0.0,0.0
2023-01-04 00:00:00-05:00,126.30024212820638,127.86981181521433,125.91017029727419,126.6624526977539,11687600,0.0,0.0
2023-01-05 00:00:00-05:00,126.92440468090795,126.97118786980126,125.09060932035499,126.63436889648438,8381300,1.0,0.0
2023-01-06 00:00:00-05:00,127.36415593571006,129.46927119741918,125.8297613826689,129.05760192871094,10029100,0.0,0.0
2023-01-09 00:00:00-05:00,129.67509854951157,129.93706729193678,128.06585383105624,128.5242919921875,8482300,0.0,0.0
2023-01-10 00:00:00-05:00,128.91727152308746,129.78739338433653,128.468184197794,129.6751251220703,9048700,0.0,0.0
2023-01-11 00:00:00-05:00,129.95577546123752,130.7510469312383,129.20730146150316,130.63877868652344,8703700,0.0,0.0
2023-01-12 00:00:00-05:00,130.98493625361903,131.78955857594025,130.25516417944687,130.50778198242188,11001700,0.0,0.0
2023-01-13 00:00:00-05:00,126.86826726797466,134.2502031548059,126.11977909380654,133.8011016845703,20200000,0.0,0.0
2023-01-17 00:00:00-05:00,132.07958357399957,132.4257534517101,130.26450446429504,131.73341369628906,14292900,0.0,0.0
2023-01-18 00:00:00-05:00,129.9744928798542,131.667938876779,127.62612498856996,127.77582550048828,13392600,0.0,0.0
2023-01-19 00:00:00-05:00,126.60630069825113,127.14894000060704,124.98769088971372,126.072998046875,13303400,0.0,0.0
2023-01-20 00:00:00-05:00,126.45659462777431,126.76534652660105,124.95026739325698,126.38174438476562,13092500,0.0,0.0
2023-01-23 00:00:00-05:00,126.41916229308102,129.0762959515266,126.1384917272453,128.43072509765625,10487100,0.0,0.0
2023-01-24 00:00:00-05:00,127.63547884614114,131.25627261937325,126.306918893886,129.53475952148438,6945000,0.0,0.0
2023-01-25 00:00:00-05:00,129.16052918258035,130.16162109375,128.4120408433662,130.16162109375,8967000,0.0,0.0
2023-01-26 00:00:00-05:00,130.44229479027035,131.04108255491334,129.4505538934766,130.9662322998047,7487600,0.0,0.0
2023-01-27 00:00:00-05:00,131.55569779393232,132.16383661935456,130.75107522151993,131.2843780517578,7489900,0.0,0.0
2023-01-30 00:00:00-05:00,130.26451157313593,131.06913387362982,129.96512486488632,130.17095947265625,6729300,0.0,0.0
