Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2022-12-06 05:00:00,PG,138.8,139.13,137.46,138.39,6866700,,138.39,138.39,0.0,0.0
2022-12-07 05:00:00,PG,138.14,139.46,138.14,139.28,6175500,0.6431,138.84,138.84,0.0,0.0
2022-12-08 05:00:00,PG,138.56,140.34,138.14,140.28,5187100,0.7188,139.32,139.32,0.0,0.0
2022-12-09 05:00:00,PG,139.71,140.87,139.26,139.91,5868200,-0.2643,139.47,139.47,0.0,0.0
2022-12-12 05:00:00,PG,140.19,141.43,140.02,141.35,6142400,1.0271,139.84,139.84,0.0,0.0
2022-12-13 05:00:00,PG,142.22,142.98,139.79,141.14,7680600,-0.1509,140.06,140.06,0.0,0.0
2022-12-14 05:00:00,PG,141.65,143.18,141.07,141.69,7385600,0.3941,140.29,140.29,0.0,0.0
2022-12-15 05:00:00,PG,140.65,140.91,138.82,140.09,7117200,-1.1319,140.27,140.27,0.0,0.0
2022-12-16 05:00:00,PG,139.39,140.05,138.15,139.47,19966400,-0.4434,140.18,140.18,0.0,0.0
2022-12-19 05:00:00,PG,139.26,140.34,138.35,139.43,5881800,-0.0266,140.1,140.1,0.0,0.0
2022-12-20 05:00:00,PG,138.43,139.89,138.38,139.49,5646100,0.0399,140.05,140.05,0.0,0.0
2022-12-21 05:00:00,PG,139.75,141.5,139.73,140.76,5024700,0.9172,140.11,140.11,0.0,0.0
2022-12-22 05:00:00,PG,140.11,141.29,139.87,141.09,5904900,0.2305,140.18,140.18,0.0,0.0
2022-12-23 05:00:00,PG,141.2,141.77,140.61,141.49,3401800,0.2826,140.28,140.28,0.0,0.0
2022-12-27 05:00:00,PG,141.56,143.06,141.52,142.72,4215100,0.8714,140.44,140.44,0.0,0.0
2022-12-28 05:00:00,PG,143.03,143.37,140.82,140.88,4197500,-1.2926,140.47,140.47,0.0,0.0
2022-12-29 05:00:00,PG,141.66,142.06,141.04,141.46,3809100,0.4146,140.52,140.52,0.0,0.0
2022-12-30 05:00:00,PG,141.31,141.54,139.47,140.51,4532000,-0.675,140.52,140.52,0.0,0.0
2023-01-03 05:00:00,PG,139.94,140.64,138.24,140.51,6447300,0.0066,140.52,140.52,0.0,0.0
2023-01-04 05:00:00,PG,140.9,142.2,140.2,141.13,7313400,0.4354,140.55,140.55,0.0,0.0
2023-01-05 05:00:00,PG,141.11,141.36,139.18,139.37,5373800,-1.2415,140.5,140.5,0.0,0.0
